ID,問題,解説,選択肢1,選択肢2,選択肢3,選択肢4
638, _______ leaves the office last has to turn off the lights and lock the door.,,Whoever,Someone who,Someone,Anyone
639, What I want most from my work is not money _______ a feeling of accomplishment.,,so much as,including,except including,when
640, While on my _______ to the store I realized that I had forgotten to bring   along any money.,,way,means,path,route
641," He started the project early in the morning, and by noon he was _______ done.",,mostly,hardly,most,full
642, The seminar will be held _______ the morning of the 13th.," You should use ""on"" in case of some specific day like on the morning of the 13th. You should use ""in"" in case of general day like ""in the morning""",on,in,since,at
643," If I _______ that you needed that document, I would have faxed it to you earlier.",,had realized,were realized,realized,realize
644, How _______ do you think you can finish this project?,,soon,much,often,long
645, She didn't know _______ longer she could keep the secret from him.,,how much,any,how,much
646, Is it true that this morning's meeting has been _______?,,rescheduled,rehearsed,retimed,postdated
647, I'm afraid I couldn't _______ what you said just now.,,catch,have,know,take
648," Our American branch was closed on Friday, _______ was a national holiday in the U.S.",,which,that,as,when
649, We're going to be late _______ the trains aren't running on time.,,if,unless,except,although
650, I will bring something back for you from my next _______.,,trip abroad,trip to abroad,trip to the abroad,abroad trip
651, I left the office _______ such a rush that I forgot to pack some important documents.,,in,with,during,having
652, I've never much cared _______ his attitude towards his subordinates.," care for = (usually negative or interrogative) be interested in, feel love for, like...",for,by,to,with
653, I asked him to keep _______ on my child while I was away.,,an eye,eye,eyes,the eye
654, Give me his telephone number _____ I need to call him.,,in case,perhaps,supposing,in case of
655," ""Do you ever talk to Pat?"" ""Yes, _____.""",,occasionally,seldom,rarely,ever
656," He _____, if ever, visits his grandparents.", if ever = もししたとしても,rarely,sometimes,never,might
657, He is going to _____ me Spanish for free.,,teach,learn,educate,instruct
658, We _____ to the Bulls by fifteen points.,,lost,won,defeated,overcame
659, I ____ him how to get to the post office.,,told,said,explained,spoke
660, I could _____ the doorbell from my room.,,hear,listen to,listen,sound
661," For P.E. class, the boys were _____ the girls.",,separated from,broken away from,divided,apart
662, Tall players have _____ in basketball.,,an advantage,a merit,a benefit,more useful
663, I gave the book _____ yesterday.," ""I gave him the book."" is also OK.",to him,him,for him,of him
664, I usually go to the railway station ______,,by bicycle,by my bicycle,on bicycle,on the bicycle
665, He's not very good ___ drawing.,,at,by,for,through
666," He told me the name of his hotel, but I can't ___ it now."," ""I can't remember it now."" is correct but you cannot use preposition after remember.",think of,think about,remember for,remember about
667, What was the reason ____ the mistake?,,for,of,by,about
668, Have you _____ to your mother recently?," any others cannot go with ""to"".",written,called,phoned,contacted
669," If we ____ at 1:00, we can still catch our train.",,leave,left,will leave,will have left
670, We'll get there on time _____ the bus is late.," despite is a preposition so you cannot say ""despite the bus is late.""",unless,but if,except,despite
671, My kids will eat vegetables _____ broccolis.,,except,but if,but not if,unless
672, My company let me take Monday off to compensate _______ to work on Saturday., compensate for something...,for having,having,I had,to have
673, I'm not sure whether he said he could _______.,,come or not,have come,come or else,be coming
674," Jim's presentation will begin _______ about two minutes, so please find a seat.",,in,at,by,over
675, She said she would be returning two weeks _______.,,from now,since now,after now,since
676, We all felt a little disappointed _______ the news., be disappointed at...,at,for,to,through
677, There's _______ on our department who does his work as efficiently as Ken.,,no one,not someone,anyone,not everyone
678," Although many people had said they would go, actually, _______ anyone went.",,hardly,almost not,not,almost
679, Fill _______ this form and return it to room 29.,,out,now,up,through
680, I want you to start generating the October sales figures _______ you can.,,as soon as,no sooner than,as possible as,as possible soon as
681, It's not every day _______ you get to hear a speech of that quality.,,that,when,if,which
682," Joe's story was interesting, but not as interesting as _______.",,Michael's,that of Michael's,the story of Michael's,Michael
683, There have been many improvements made _______ this proposal over the last week., make improvements to ? = ?を改善する。,to,about,concerning,towards
684," This morning I got a call from Paul Jensen, _______ had asked me to send him  several pamphlets last week.",,who,which,that,whom
685," _______ I was on the phone with Bob in Detroit, a fax came through from  our Boston Branch.",,While,During,Sometime,Meanwhile
686," Even if you don't have time to read these documents carefully before the meeting, you should at least look them _______.",,over,all,up,a little
687, I can't imagine that's _______ really wanted to say.,,what he,what,just he,that he
